total_events,score_mean
54,69.08181818181818
79,94.14545454545454
64,71.42999999999999
84,81.69
51,70.76363636363637
62,75.0
73,72.55454545454546
67,83.55
51,73.04545454545455
89,66.90833333333333
69,71.84545454545454
52,66.84545454545454
47,53.64545454545455
59,66.45454545454545
88,81.96363636363637
58,66.55454545454546
44,77.88181818181819
53,64.81818181818181
66,73.76363636363637
66,79.04545454545455
73,75.69090909090909
70,71.9090909090909
77,84.5909090909091
67,81.89090909090909
79,72.92727272727274
76,74.72727272727273
79,78.83636363636364
69,76.67272727272727
69,69.84545454545454
53,66.76363636363637
50,69.32727272727273
89,71.61818181818181
77,73.04545454545455
59,70.25454545454545
53,52.790909090909096
66,80.98181818181818
59,52.5
67,65.55454545454546
63,82.28181818181818
79,67.13636363636364
71,58.81818181818182
83,82.07272727272726
47,75.36363636363636
59,65.08181818181818
37,60.43636363636363
69,68.48181818181818
77,66.2090909090909
53,63.22727272727273
49,70.23636363636363
78,63.82727272727273
42,76.2909090909091
78,76.12727272727273
89,69.61818181818181
71,68.34545454545454
91,83.46363636363637
82,83.60000000000001
77,73.87272727272727
72,62.72727272727273
67,76.58181818181818
79,71.84545454545454
52,63.5
58,69.92727272727274
58,72.04545454545455
86,69.39090909090909
57,74.52727272727272
42,58.90909090909091
49,75.7
54,66.41818181818182
65,67.26363636363637
31,74.82727272727273
60,79.39999999999999
54,65.57272727272726
60,67.99090909090908
40,70.07272727272726
42,66.15454545454546
75,71.78181818181818
52,62.98181818181818
66,77.60000000000001
51,63.98181818181818
63,61.054545454545455
91,89.06363636363636
36,74.64545454545454
61,76.23636363636363
77,74.84545454545456
71,65.35454545454546
60,83.77272727272727
67,63.72727272727273
59,63.91818181818182
45,53.2
68,75.2
83,88.74545454545455
60,68.76363636363637
43,57.345454545454544
70,74.02727272727272
74,67.22727272727273
75,72.39090909090909
85,72.9
90,81.00909090909092
41,76.01818181818182
76,68.42727272727274
45,76.68181818181819
76,81.2090909090909
56,71.62727272727273
72,56.35454545454545
36,67.85454545454546
55,77.97272727272728
67,75.5
69,64.18181818181819
77,73.72727272727273
60,78.73636363636363
63,67.45454545454545
49,83.15454545454546
56,48.88181818181818
72,78.51818181818182
51,64.54545454545455
61,71.2
90,84.13636363636364
69,54.42727272727273
84,73.0909090909091
48,66.94545454545454
74,80.06363636363636
86,73.61818181818181
80,78.10000000000001
45,73.10909090909091
30,52.127272727272725
43,73.25454545454545
65,74.24545454545455
80,86.38181818181819
61,54.78181818181818
57,74.7909090909091
69,66.73636363636363
60,70.32727272727273
62,78.86363636363636
58,65.10000000000001
53,66.87272727272727
73,81.63636363636364
80,83.43636363636364
42,65.85454545454546
48,67.23636363636363
38,54.17272727272727
54,77.46363636363637
46,67.54545454545455
56,67.06363636363636
46,66.97272727272728
35,67.7090909090909
63,61.28181818181818
62,71.74545454545454
75,74.55454545454546
74,81.65454545454546
61,66.30909090909091
47,67.9090909090909
59,79.34545454545454
58,69.64545454545454
75,75.2
53,57.00909090909091
69,78.39090909090909
85,71.61818181818181
55,65.46363636363637
63,80.98181818181818
54,75.93636363636364
81,68.26363636363637
71,72.7090909090909
85,88.60909090909091
35,62.66363636363636
59,64.24545454545455
66,52.21818181818182
61,65.69090909090909
65,59.3
51,64.78181818181818
42,66.93636363636364
47,69.33636363636364
59,66.25454545454545
84,78.58181818181818
64,74.8
52,80.2090909090909
60,70.78181818181818
67,65.58181818181818
57,71.0909090909091
55,62.345454545454544
60,84.70909090909092
79,87.78181818181818
59,73.85454545454546
52,77.72727272727273
73,79.89090909090909
66,68.71818181818182
83,73.66363636363636
53,69.60000000000001
64,73.96363636363637
60,77.85454545454546
70,75.83636363636364
57,79.99090909090908
71,69.0
58,69.12727272727273
65,69.4090909090909
68,72.11818181818181
60,65.32727272727273
70,71.94545454545454
56,71.92727272727274
36,52.76363636363636
83,83.68181818181819
72,67.74545454545455
47,73.7090909090909
78,72.16363636363636
72,64.21818181818182
63,60.00909090909091
49,74.50909090909092
76,77.61818181818181
40,59.41818181818182
64,79.80909090909091
63,78.83636363636363
67,73.27272727272727
50,78.27272727272727
63,73.47272727272728
55,60.88181818181818
43,65.03636363636363
79,70.5909090909091
64,71.02727272727272
37,60.445454545454545
61,81.12727272727273
31,57.13636363636363
61,73.91818181818182
58,61.9
77,58.627272727272725
63,65.5909090909091
73,81.17272727272727
47,76.17272727272727
76,72.74545454545455
67,75.35454545454546
56,69.58181818181818
59,77.34545454545454
81,70.91818181818182
16,57.95454545454545
57,67.83636363636364
53,68.22727272727273
77,74.0
67,74.96363636363637
45,74.4090909090909
67,73.39090909090909
66,79.3
47,72.52727272727272
58,69.02727272727272
67,69.60909090909091
82,80.78181818181818
66,77.67272727272727
46,60.51818181818182
93,70.68181818181819
52,79.17272727272727
60,68.10000000000001
39,75.55454545454546
95,74.5909090909091
57,69.58181818181818
55,72.93636363636364
73,85.5
38,59.654545454545456
67,79.05454545454546
40,55.209090909090904
53,67.4090909090909
48,63.54545454545455
76,71.84545454545454
72,69.01818181818182
62,55.345454545454544
88,82.13636363636364
70,75.81818181818181
70,74.73636363636363
89,71.3
71,73.80909090909091
63,75.26363636363637
63,79.93636363636364
57,60.209090909090904
52,70.48181818181818
43,58.8
81,71.94545454545454
64,74.68181818181819
59,75.15454545454546
73,71.00909090909092
43,72.10909090909091
60,66.44545454545454
67,78.63636363636364
87,70.78181818181818
53,65.92727272727274
63,76.9090909090909
28,61.22727272727273
58,75.48181818181818
63,65.83636363636363
63,77.7909090909091
31,61.07272727272727
80,83.12727272727273
53,60.31818181818182
55,77.4090909090909
48,69.58181818181818
45,70.07272727272726
59,70.39090909090909
45,75.54545454545455
54,79.64545454545454
70,67.30909090909091
64,77.55454545454546
68,73.00909090909092
76,78.32727272727273
63,81.10909090909091
53,65.12727272727273
92,75.39999999999999
52,77.87272727272727
66,69.86363636363636
86,76.73636363636363
63,73.71818181818182
75,78.91818181818182
83,77.21818181818182
64,71.22727272727273
62,61.03636363636363
69,72.11818181818181
58,77.97272727272728
53,73.58181818181818
41,51.49090909090909
59,71.94545454545454
65,66.77272727272727
57,67.58181818181818
51,70.48181818181818
88,71.43636363636364
66,68.18181818181819
55,69.38181818181819
80,85.3
75,72.60909090909091
42,71.75454545454545
53,71.00909090909092
95,69.27272727272727
51,67.67272727272727
61,64.10000000000001
44,70.30909090909091
48,73.39999999999999
53,64.07272727272726
42,59.3909090909091
68,74.19090909090909
70,73.04545454545455
61,64.49090909090908
74,73.04545454545455
73,60.16363636363636
58,62.972727272727276
63,74.7909090909091
66,69.01818181818182
70,58.027272727272724
47,63.6
56,78.39999999999999
86,75.45454545454545
42,68.45454545454545
64,81.93636363636364
37,71.01818181818182
71,71.60000000000001
56,70.55454545454546
73,76.38181818181819
